NSFTV_ID,Na:K Shoot ,Na Shoot ,K Shoot Salt ,K Shoot Control ,Na:K Root ,Na Root ,K Root Salt 
NSFTV_258,196.9371447,0.178716101,0.91481665,1.045186357,500.9732741,0.319716958,0.631714058
NSFTV_259,188.1871447,0.190216101,1.04006665,1.106573605,457.4521206,0.330427501,0.712971311
NSFTV_26,276.0758738,0.251911033,0.918750543,1.017320299,510.4900587,0.31864335,0.62879909
NSFTV_260,122.4871447,0.113466101,0.94681665,1.031227881,463.484512,0.291951081,0.644657969
NSFTV_261,161.8621447,0.140716101,0.87881665,1.057268925,483.4290344,0.292606502,0.594940948
NSFTV_262,214.5621447,0.203716101,0.94906665,1.054021915,440.165964,0.33374791,0.748833789
NSFTV_263,146.4621447,0.132716101,0.92131665,0.928686551,434.6913182,0.226888428,0.513854375
NSFTV_264,251.4371447,0.203716101,0.80406665,0.931274757,430.3677733,0.31242745,0.718349099
NSFTV_265,216.1121447,0.187716101,0.86506665,1.068220689,453.3132381,0.356367743,0.779381839
NSFTV_266,291.0371447,0.272466101,0.93831665,1.082518653,448.1330933,0.326920216,0.718810116
NSFTV_267,258.0112863,0.217945246,0.82341844,0.946469933,396.2765038,0.262045206,0.649737778
NSFTV_268,150.9371447,0.152216101,1.03856665,1.179607586,393.616645,0.22376585,0.554081701
NSFTV_269,126.5371447,0.128216101,1.06581665,1.149684539,454.5802434,0.351526681,0.77194341
NSFTV_27,215.7624671,0.177957758,0.839015068,0.95580997,596.5228322,0.336310274,0.563551657
NSFTV_270,206.2621447,0.174216101,0.84456665,0.997350307,402.8358191,0.301614907,0.733115396
NSFTV_271,214.7121447,0.202716101,0.95081665,1.060530582,502.3369799,0.367694886,0.737718297
NSFTV_272,160.3630836,0.149800507,0.945846127,0.975084913,664.9129196,0.43916276,0.591648322
NSFTV_273,200.5446197,0.191278579,0.93106665,1.155589872,631.0143072,0.296895194,0.534015836
NSFTV_274,133.7230959,0.128991473,0.990282105,NA,519.3340688,0.359541546,0.689413611
NSFTV_275,158.0878553,0.145783899,0.92793335,1.061460555,414.6302274,0.320282567,0.786845024
NSFTV_277,190.8128553,0.158783899,0.88143335,1.043498233,453.6368015,0.264262275,0.590632341
NSFTV_278,222.1628553,0.140896598,0.955827242,1.195184398,890.0671231,0.598192554,0.666210702
NSFTV_279,254.9378553,0.214533899,0.907827242,1.066220836,498.0800937,0.32291508,0.652869276
NSFTV_28,87.96183642,0.080544726,0.959151121,NA,485.8980169,0.382135425,0.787604292
NSFTV_280,184.043899,0.173563265,0.937793515,0.922645709,464.8733425,0.272427775,0.608072345
NSFTV_281,155.7628553,0.127783899,0.87218335,1.033542812,426.139019,0.365046581,0.857961362
NSFTV_282,157.5128553,0.154783899,0.97618335,1.152408718,606.7682642,0.354821981,0.632082128
NSFTV_283,168.5820704,0.141888629,0.89068335,0.990356987,469.4303657,0.324416466,0.721371582
NSFTV_284,140.1128553,0.125783899,0.89243335,1.046971863,564.8857939,0.421258223,0.739860207
NSFTV_285,276.7628553,0.230283899,0.84118335,1.032238703,658.2588097,0.373665908,0.563209658
NSFTV_286,229.5628553,0.204783899,0.89793335,1.019670031,497.1614184,0.377335518,0.759073955
NSFTV_287,232.3378553,0.202533899,0.88493335,1.002744661,430.5613149,0.321673447,0.75732182
NSFTV_288,193.2628553,0.159533899,0.84668335,0.881180165,387.5430337,0.299276809,0.775737489
NSFTV_289,223.9378553,0.216783899,0.96568335,1.103246414,432.4280286,0.303861369,0.708403325
NSFTV_29,98.15820786,0.085800703,0.929982228,0.908836724,608.3604831,0.410324547,0.676128559
NSFTV_290,230.8624777,0.188211432,0.823760603,0.99429441,552.8339812,0.384637511,0.707630053
NSFTV_291,458.7128553,0.361533899,0.81868335,1.063676939,591.6197625,0.287940767,0.334743432
NSFTV_292,247.5878553,0.209533899,0.85843335,1.053093239,446.6893429,0.351856047,0.783143588
NSFTV_293,236.6878553,0.219033899,0.93418335,1.169070755,415.190661,0.317215286,0.765613599
NSFTV_294,225.1128553,0.188783899,0.85293335,1.06702671,406.549255,0.287623415,0.719885497
NSFTV_295,298.295811,0.261544766,0.911093936,1.096801625,475.6873423,0.350642369,0.741040355
NSFTV_296,230.9878553,0.206783899,0.90043335,1.112991285,504.6787122,0.342057161,0.678490188
NSFTV_297,188.9128553,0.189533899,0.98293335,1.116845091,500.1809899,0.373058969,0.748321251
NSFTV_298,236.0105657,0.173563265,0.770793515,0.961568161,466.1921348,0.320515225,0.6659966
NSFTV_299,143.4378553,0.135783899,0.93643335,1.059304418,613.6144382,0.551531342,0.890472452
NSFTV_3,107.1621447,0.092716101,0.88231665,0.861535825,674.0476727,0.381801387,0.574713262
NSFTV_30,150.9868364,0.138794726,0.931651121,0.842666013,388.6451626,0.372971428,0.947375261
NSFTV_300,179.4128553,0.159533899,0.88443335,1.065003917,394.6617621,0.348467243,0.898173408
