"Area_Day21" "Area_Growth" "Area_Day29_MPH" "Area_Day21_MPH" "Area_Day29" "Area_Growth_MPH" "LTF" "LTF_MPH" "DTF_MPH" "DTF"
"C236" 79.5152 27.8529 1.9204 3.3828 55.4698 1.0238 2.4756 -0.0248 -0.0101 1.7986
"C237" 79.7978 28.0117 2.4283 4.3675 55.7633 1.2651 2.479 -0.0645 0.0251 1.8233
"C238" 78.5577 27.3931 2.0951 4.4341 54.6703 1.0484 2.5767 0.1133 0.0267 1.8191
"C239" 77.8914 23.1235 -5.2322 -1.5242 48.689 -3.688 2.3507 0.0501 0.0373 1.8121
"C240" 79.6675 27.0377 4.3216 6.6685 54.2761 2.4257 2.6569 0.3741 0.0727 1.846
"C241" 79.236 28.0509 3.9408 3.4873 55.7474 2.3614 2.5462 -0.0371 -0.0117 1.8107
"C253" 87.2607 29.1348 6.8034 13.0705 58.292 3.545 2.3553 -0.0915 -0.05 1.7707
"C254" 89.6132 30.0252 8.3865 13.8882 59.9017 4.6123 2.4956 0.0164 -0.042 1.7785
"C255" 71.5742 24.0928 -6.188 -6.4522 48.9761 -3.6508 2.5289 0.0101 0.0067 1.8291
"C256" 78.2568 28.1868 4.2885 6.7403 55.8556 2.3179 2.4676 -0.0363 -0.0326 1.7885
"C257" 80.3417 27.5396 2.9307 4.2287 55.0929 1.6671 2.25 -0.1846 -0.0472 1.767
"C258" 82.7077 27.1208 5.1497 11.5559 54.9353 2.4409 2.4915 -0.0598 -0.0085 1.824
"C259" 79.4019 27.474 1.4214 4.1486 54.8775 0.646 2.5214 -0.0335 -0.0245 1.7981
"C260" 69.9305 25.7231 0.4407 -1.09 51.1671 0.3758 2.3071 -0.1194 -0.0341 1.7757
"C261" 81.275 28.9685 4.5575 7.8805 57.3851 2.4139 2.4969 -0.0095 -0.0211 1.7881
"C262" 75.0833 27.4444 1.2078 0.84 54.384 0.7254 2.5564 0.0433 -0.0161 1.801
"C263" 81.8837 28.5446 4.725 9.7959 56.7928 2.3919 2.4426 0.0162 -0.0236 1.7799
"C264" 78.1391 27.5313 1.4157 0.7592 54.8294 0.9117 1.9926 -0.271 -0.0404 1.7455
"C265" 89.7593 27.4774 6.8225 18.7961 56.2696 3.0574 2.5913 0.3454 0.0359 1.8203
"C267" 81.9059 28.3629 3.6531 6.9558 56.5016 1.9091 2.5624 0.0806 -0.0103 1.8022
"C268" 72.9143 26.5859 1.6528 2.075 52.8389 0.9252 2.4338 -0.0215 -0.0201 1.7783
"C269" 82.4617 27.8847 4.6324 10.1219 55.8738 2.292 2.5247 -0.0335 -0.0071 1.8143
"C270" 75.6748 26.5106 3.7558 7.2346 53.0072 1.9316 2.5395 0.0726 7e-04 1.8118
"C271" 63.1093 19.5191 -9.7148 -9.9469 41.5189 -6.0202 2.3074 -0.1561 -0.0053 1.7934
